728,uc004ayz.3,GALNT12,32
729,uc004azb.2,COL15A1,33
730,uc004azc.3,TGFBR1,41
731,uc022bkv.1,5S_rRNA,0
732,uc004azf.3,ALG2,52
733,uc004azh.3,SEC61B,38
734,uc004azm.2,NAMA,2
735,uc022bkw.1,NAMA_1,0
736,uc022bkx.1,NAMA_2,1
737,uc004bad.1,AK057451,1
738,uc004baf.1,NR4A3,32
739,uc004baj.4,LOC441461,2
740,uc004bal.4,STX17,44
741,uc004bam.3,ERP44,35
742,uc004bap.2,INVS,32
743,uc004bas.3,TEX10,50
744,uc004bav.1,AK056351,5
745,uc004bay.2,MSANTD3-TMEFF1,37
746,uc004bba.3,MURC,53
747,uc022blc.1,DQ580140,57
748,uc004bbb.3,LPPR1,22
749,uc010mtd.3,BAAT,33
750,uc004bbe.2,MRPL50,51
751,uc004bbh.2,ZNF189,68
752,uc004bbk.2,ALDOB,37
753,uc004bbl.1,AK094413,1
754,uc004bbm.3,TMEM246,38
