uc001aos.3,UTS2,45
uc001aot.3,TNFRSF9,31
uc021ofs.1,TRNA_Pseudo,0
uc001aox.4,PARK7,23
uc001aoz.3,ERRFI1,64
uc001apb.3,SLC45A1,19
uc001apf.3,RERE,34
uc001apg.1,BC113958,2
uc001apj.2,ENO1,44
uc021oft.1,ENO1-AS1,1
uc031plc.1,CA6,35
uc009vmo.1,SLC2A7,23
uc001apo.3,SLC2A5,28
uc001apq.1,GPR157,8
uc001aps.3,GPR157,4
uc009vmq.3,mir-34,29
uc001apt.3,H6PD,22
uc010oae.2,SPSB1,19
uc021ofx.1,5S_rRNA,0
uc001apw.3,SLC25A33,30
uc021ofy.1,TMEM201,10
uc001aqb.4,PIK3CD,24
uc001aqc.4,C1orf200,41
uc021oga.1,BC038541,1
uc001aqh.3,CLSTN1,27
uc001aql.1,CTNNBIP1,10
uc001aqm.3,LZIC,54
uc001aqp.3,NMNAT1,52
uc001aqq.3,RBP7,36
uc001aqs.4,UBE4B,32
uc001aqw.4,KIF1B,43
uc001arc.3,PGD,33
uc021ogd.1,APITD1-CORT,31
uc001arj.3,DFFA,29
uc001arn.3,PEX14,11
uc001aro.4,CASZ1,10
uc021ogh.1,Mir_584,2
uc010oao.2,C1orf127,18
uc001art.3,TARDBP,38
uc001aru.3,MASP2,46
uc001arz.1,SRM,11
uc001asa.3,EXOSC10,48
uc001asd.3,MTOR,37
uc031plf.1,MTOR-AS1,48
uc001ase.4,ANGPTL7,33
uc001asg.3,UBIAD1,30
uc001ash.4,PTCHD2,19
uc001asj.3,FBXO2,17
uc001asm.3,FBXO44,25
uc001aso.3,FBXO6,19
uc009vnc.3,MAD2L2,19
uc001asr.1,DRAXIN,20
uc001ass.2,AK125437,1
uc001asv.3,AGTRAP,26
uc001asy.1,C1orf167,1
uc001asz.3,C1orf167,5
uc001atc.2,MTHFR,30
uc001ate.5,CLCN6,28
uc001ati.3,NPPA,59
uc001atj.3,NPPB,17
uc001atk.3,KIAA2013,20
uc001atm.3,PLOD1,19
uc009vni.3,MFN2,39
uc001ato.2,MIIP,13
uc001atq.3,TNFRSF8,17
uc001att.3,TNFRSF1B,15
uc021ogi.1,MIR4632,10
uc001atv.3,VPS13D,41
uc001atz.1,SNORA59B,70
uc001auc.3,DHRS3,15
uc001auf.3,AADACL4,41
uc009vnn.1,AADACL3,52
uc001auh.3,C1orf158,31
uc001aui.3,PRAMEF12,69
uc001auj.2,PRAMEF1,149
uc001auk.2,PRAMEF11,186
uc009vno.2,LOC649330,172
uc001aum.1,PRAMEF2,107
